Symbol,Company,Current CEO,"Gender (1 female, 2 male)",Date Employed,Age,Education Level,Number of Children they have,sector,headquarters,headquartersMSA,pop with % less than HS,Estimate!!Total!!Total population,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,"Estimate!!Percent Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations",implicit attitudes,exp1career,exp2fam
NOV,National Oilwell Varco Inc.,Clay C Williams,2,6/2/2014,58,MBA,3,Oil & Gas Equipment & Services,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953
NBL,Noble Energy Inc,David L Stover,2,10/1/2014,62,BS,,Oil & Gas Exploration & Production,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953
SYY,Sysco Corp.,Kevin Hourican,2,2/1/2020,45,Masters ,,Food Distributors,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953
SPG,Simon Property Group Inc,David Simon,2,6/17/1905,57,MBA,5,Retail REITs,"Indianapolis, Indiana","Indianapolis-Carmel-Anderson, IN Metro Area",10.6,2007497,13.2,54.2,45.8,0.340081696,4.36693256,3.485155684
CE,Celanese,Lori Ryerkerk,1,5/1/2019,57,,2,Specialty Chemicals,"Irving, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588
XOM,ExxonMobile,Darren Woods,2,1/17/2020,54,MBA,,Integrated Oil & Gas,"Irving, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588
AJG,Arthur J. Gallagher & Co.,J. Patrick Gallagher,2,6/17/1905,67,BA,4,Insurance Brokers,"Itasca, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
CSX,CSX Corp.,James M Foote,2,12/1/2017,66,JD,,Railroads,"Jacksonville, Florida","Jacksonville, FL Metro Area",9.1,1475386,13.3,53,47,0.397064298,4.379746835,3.447949527
VZ,Verizon,Hans Vestberg,2,8/18/2020,54,BS,2,Research & Consulting Services,"Jersey City, New Jersey","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",8,6069448,12.6,54.6,45.4,0.333240668,4.347376583,3.433144037
NEE,NextEra Energy,James L Robo,2,7/1/2012,57,MBA,,Multi-Utilities,"Juno Beach, Florida","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849
SYK,Stryker Corp.,Kevin A. Lobo,2,10/1/2012,54,MBA,,Health Care Equipment,"Kalamazoo, Michigan","Kalamazoo-Portage, MI Metro Area",7.8,336845,16,53.2,46.8,0.347991962,4.128865979,3.393782383
SNA,Snap-on,Nicholas T. Pinchuk,2,6/29/1905,73,"MS, MBA",,Industrial Machinery,"Kenosha, Wisconsin","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
BR,Broadridge Financial Solutions,Tim Gokey,2,1/1/2019,58,PhD,,Data Processing & Outsourced Services,"Lake Success, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
CDW,CDW,Christine A. Leahy,1,1/19/2020,54,JD,,Technology Distributors,"Lincolnshire, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
MA,Mastercard,Ajaypal Singh Banga,2,7/1/2010,60,MBA,2,Building Products,"Livonia, Michigan","Detroit-Warren-Dearborn, MI Metro Area",9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387
CBRE,CBRE Group,Robert E Sulentic,2,12/1/2012,63,MBA,,Real Estate Services,"Los Angeles, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
NFLX,Netflix Inc.,Reed Hastings,2,8/29/1997,59,MS,2,Movies & Entertainment,"Los Gatos, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
BF.B,Brown-Forman Corp.,Lawson Whiting,2,1/1/2019,51,MBA,3,Distillers & Vintners,"Louisville, Kentucky","Louisville/Jefferson County, KY-IN Metro Area",8.7,1285270,13.1,53.6,46.4,0.343367875,4.298898072,3.459310345
LNT,Alliant Energy Corp,John Larsen,2,7/1/2019,56,BA,,Electric Utilities,"Madison, Wisconsin","Madison, WI Metro Area",4.3,647281,11.2,53.4,46.6,0.327891164,4.357723577,3.425474255
BSX,Boston Scientific,Michael Mahoney,2,11/1/2012,55,MBA,3,Health Care Equipment,"Marlborough, Massachusetts[4]","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
CSCO,Cisco,Chuck Robbins,2,7/15/2020,53,BS,4,Diversified Support Services,"Mason, Ohio","Cincinnati, OH-KY-IN Metro Area",7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068
HSY,Hershey,Michele Buck,1,12/1/2016,57,MBA,3,Health Care Distributors,"Melville, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
AZO,AutoZone Inc,William C Rhodes,2,3/1/2007,55,MBA,,Specialty Stores,"Memphis, Tennessee","Memphis, TN-MS-AR Metro Area",11.4,1345991,18.6,52.3,47.7,0.35373716,4.388663968,3.477732794
